run,seed,allies,enemies,difficulty,victory_condition,ending,human_victory,turns,score,allies_evacuated,actions,action_log,peak_heap_bytes
run-0726,-184057920514066908,3655,5000,MUY_DIFICIL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_ELIMINACION,false,29,-12149,0,195456,run-0726-actions.log.gz,52614072
run-0727,-8968124719399098785,3660,5000,PESADILLA,SOLO_JUGADOR,VICTORIA_ENEMIGA_AGOTAMIENTO,false,36,292,244,272942,run-0727-actions.log.gz,53138360
run-0728,-1330402680862853572,3665,5000,DEMENTE,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_AGOTAMIENTO,false,29,295,244,224956,run-0728-actions.log.gz,53662648
run-0729,3314855357462808512,3670,1835,MUY_FACIL,SOLO_JUGADOR,VICTORIA_JUGADOR,true,33,12973,1162,164251,run-0729-actions.log.gz,53662648
run-0730,2725113006909581765,3675,2756,FACIL,JUGADOR_Y_ALIADOS,VICTORIA_TODOS_ALIADOS,true,20,33717,3675,113482,run-0730-actions.log.gz,54186936
run-0731,-4016349428505652649,3680,3680,NORMAL,SOLO_JUGADOR,VICTORIA_ALIADA_POST_MORTEM,true,23,23004,2415,140558,run-0731-actions.log.gz,54711224
run-0732,-4456004371375542647,3685,4606,DIFICIL,JUGADOR_Y_ALIADOS,VICTORIA_ALIADA_POST_MORTEM,true,29,25755,2418,198528,run-0732-actions.log.gz,54711224
run-0733,5524882594664632479,3690,5000,MUY_DIFICIL,SOLO_JUGADOR,VICTORIA_ENEMIGA_ELIMINACION,false,30,-12290,0,207568,run-0733-actions.log.gz,55235512
run-0734,5789667580276332673,3695,5000,PESADILLA,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_ELIMINACION,false,27,-12307,0,184241,run-0734-actions.log.gz,55235512
run-0735,7836054409739799058,3699,5000,DEMENTE,SOLO_JUGADOR,VICTORIA_ENEMIGA_AGOTAMIENTO,false,32,258,246,243015,run-0735-actions.log.gz,55759800
run-0736,-4958308137896614087,3704,1852,MUY_FACIL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_AGOTAMIENTO,false,31,-2572,247,149351,run-0736-actions.log.gz,56284088
run-0737,2055888518017459074,3709,2782,FACIL,SOLO_JUGADOR,VICTORIA_JUGADOR,true,27,14569,1174,153732,run-0737-actions.log.gz,56326088
run-0738,3424312267315786780,3714,3714,NORMAL,JUGADOR_Y_ALIADOS,VICTORIA_TODOS_ALIADOS,true,34,35892,3714,200592,run-0738-actions.log.gz,56850376
run-0739,-47151287182101381,3719,4649,DIFICIL,SOLO_JUGADOR,VICTORIA_ALIADA_POST_MORTEM,true,23,24458,2441,160448,run-0739-actions.log.gz,57332664
run-0740,-4559691386159084747,3724,5000,MUY_DIFICIL,JUGADOR_Y_ALIADOS,VICTORIA_ALIADA_POST_MORTEM,true,20,26468,2444,144818,run-0740-actions.log.gz,57332664
run-0741,-6875847618109370338,3729,5000,PESADILLA,SOLO_JUGADOR,VICTORIA_ENEMIGA_ELIMINACION,false,35,-12451,0,232770,run-0741-actions.log.gz,57856952
run-0742,-5104269808154761314,3734,5000,DEMENTE,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_ELIMINACION,false,25,-12461,0,175675,run-0742-actions.log.gz,58381240
run-0743,-8337634655382667042,3739,1870,MUY_FACIL,SOLO_JUGADOR,VICTORIA_ENEMIGA_AGOTAMIENTO,false,32,-2589,249,155622,run-0743-actions.log.gz,58381240
run-0744,-3171079434012699007,3744,2808,FACIL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_AGOTAMIENTO,false,26,-1747,249,151480,run-0744-actions.log.gz,58905528
run-0745,-3910468201946008590,3749,3749,NORMAL,SOLO_JUGADOR,VICTORIA_JUGADOR,true,34,16131,1187,211341,run-0745-actions.log.gz,59429816
run-0746,-3826925241015880157,3753,4691,DIFICIL,JUGADOR_Y_ALIADOS,VICTORIA_TODOS_ALIADOS,true,39,38114,3753,255706,run-0746-actions.log.gz,59954104
run-0747,-7370230636862521560,3758,5000,MUY_DIFICIL,SOLO_JUGADOR,VICTORIA_ALIADA_POST_MORTEM,true,30,24956,2466,225305,run-0747-actions.log.gz,59954104
run-0748,-6046048562160295236,3763,5000,PESADILLA,JUGADOR_Y_ALIADOS,VICTORIA_ALIADA_POST_MORTEM,true,33,26450,2469,212516,run-0748-actions.log.gz,60478392
run-0749,-2660699700864117652,3768,5000,DEMENTE,SOLO_JUGADOR,VICTORIA_ENEMIGA_ELIMINACION,false,26,-12598,0,182195,run-0749-actions.log.gz,61002680
run-0750,-8719405094822599974,3773,1887,MUY_FACIL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_ELIMINACION,false,34,-14806,0,144137,run-0750-actions.log.gz,61002680
run-0751,8821660219354411596,3778,2834,FACIL,SOLO_JUGADOR,VICTORIA_ENEMIGA_AGOTAMIENTO,false,26,-1755,251,152435,run-0751-actions.log.gz,61526968
run-0752,3626444088122709210,3783,3783,NORMAL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_AGOTAMIENTO,false,39,-915,252,257445,run-0752-actions.log.gz,62051256
run-0753,-1877943537278259096,3788,4735,DIFICIL,SOLO_JUGADOR,VICTORIA_JUGADOR,true,32,17663,1199,231463,run-0753-actions.log.gz,62575544
run-0754,-6684786045030620320,3793,5000,MUY_DIFICIL,JUGADOR_Y_ALIADOS,VICTORIA_TODOS_ALIADOS,true,24,39027,3793,157265,run-0754-actions.log.gz,62575544
run-0755,2831816405908698040,3798,5000,PESADILLA,SOLO_JUGADOR,VICTORIA_ALIADA_POST_MORTEM,true,31,24964,2493,238229,run-0755-actions.log.gz,63116232
run-0756,3953479945407269150,3802,5000,DEMENTE,JUGADOR_Y_ALIADOS,VICTORIA_ALIADA_POST_MORTEM,true,32,26453,2495,219201,run-0756-actions.log.gz,63624120
